Upper tier local authorities Code,Upper tier local authorities,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E06000001,Hartlepool,-8,Does not apply,0
E06000001,Hartlepool,1,Household is not deprived in any dimension,17262
E06000001,Hartlepool,2,Household is deprived in one dimension,13735
E06000001,Hartlepool,3,Household is deprived in two dimensions,7570
E06000001,Hartlepool,4,Household is deprived in three dimensions,2278
E06000001,Hartlepool,5,Household is deprived in four dimensions,85
E06000002,Middlesbrough,-8,Does not apply,0
E06000002,Middlesbrough,1,Household is not deprived in any dimension,25407
E06000002,Middlesbrough,2,Household is deprived in one dimension,20394
E06000002,Middlesbrough,3,Household is deprived in two dimensions,10816
E06000002,Middlesbrough,4,Household is deprived in three dimensions,3517
E06000002,Middlesbrough,5,Household is deprived in four dimensions,128
E06000003,Redcar and Cleveland,-8,Does not apply,0
E06000003,Redcar and Cleveland,1,Household is not deprived in any dimension,27192
E06000003,Redcar and Cleveland,2,Household is deprived in one dimension,21064
E06000003,Redcar and Cleveland,3,Household is deprived in two dimensions,10307
E06000003,Redcar and Cleveland,4,Household is deprived in three dimensions,2969
E06000003,Redcar and Cleveland,5,Household is deprived in four dimensions,106
E06000004,Stockton-on-Tees,-8,Does not apply,0
E06000004,Stockton-on-Tees,1,Household is not deprived in any dimension,40497
E06000004,Stockton-on-Tees,2,Household is deprived in one dimension,27187
E06000004,Stockton-on-Tees,3,Household is deprived in two dimensions,12617
E06000004,Stockton-on-Tees,4,Household is deprived in three dimensions,3324
E06000004,Stockton-on-Tees,5,Household is deprived in four dimensions,132
E06000005,Darlington,-8,Does not apply,0
E06000005,Darlington,1,Household is not deprived in any dimension,23775
E06000005,Darlington,2,Household is deprived in one dimension,16384
E06000005,Darlington,3,Household is deprived in two dimensions,6944
E06000005,Darlington,4,Household is deprived in three dimensions,1738
E06000005,Darlington,5,Household is deprived in four dimensions,76
E06000006,Halton,-8,Does not apply,0
E06000006,Halton,1,Household is not deprived in any dimension,24183
