
"KS201UK - Ethnic group"
"ONS Crown Copyright Reserved [from Nomis on 11 December 2023]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"

"local authority: district / unitary (prior to April 2015)","mnemonic","All categories: Ethnic group","White","Gypsy / Traveller / Irish Traveller","Mixed / Multiple ethnic group","Asian / Asian British: Indian","Asian / Asian British: Pakistani","Asian / Asian British: Bangladeshi","Asian / Asian British: Chinese","Asian / Asian British: Other Asian","Black / African / Caribbean / Black British","Other Ethnic Group"

"Barking and Dagenham","E09000002",185911,108204,182,7878,7436,8007,7701,1315,5135,37140,2913
"Barnet","E09000003",356386,228402,151,17169,27920,5344,2215,8259,22180,27431,17315
"Bexley","E09000004",231997,189338,624,5395,7047,730,777,2514,4175,19624,1773
"Brent","E09000005",311215,112560,320,15775,58017,14381,1749,3250,28589,58632,17942
"Bromley","E09000006",309392,260290,580,10897,6215,1014,1265,2768,4805,18686,2872
"Camden","E09000007",220338,145888,167,12322,6083,1489,12503,6493,8878,18060,8455
"City of London","E09000001",7375,5796,3,289,216,16,232,263,213,193,154
"Croydon","E09000008",363378,199961,234,23895,24660,10865,2570,3925,17607,73256,6405
"Ealing","E09000009",338449,165518,300,15066,48240,14711,1786,4132,31570,36860,20266
"Enfield","E09000010",312466,190296,344,17183,11648,2594,5599,2588,12464,53687,16063
"Greenwich","E09000011",254557,158572,430,12274,7836,2594,1645,5061,12758,48655,4732
"Hackney","E09000012",246270,134143,474,15869,7599,1905,6180,3436,6747,56858,13059
"Hammersmith and Fulham","E09000013",182493,124005,217,10044,3451,1612,1056,3140,7376,21505,10087
"Haringey","E09000014",254926,153973,370,16548,5945,1920,4417,3744,8124,47830,12055
"Harrow","E09000015",239056,100810,181,9499,63051,7797,1378,2629,26953,19708,7050
"Havering","E09000016",237232,207789,160,4933,5017,1492,975,1459,2602,11481,1324
"Hillingdon","E09000017",273936,165687,344,10479,36795,9200,2639,2889,17730,20082,8091
"Hounslow","E09000018",253957,130322,183,10349,48161,13676,2189,2405,20826,16813,9033
"Islington","E09000019",206125,140352,163,13339,3534,951,4662,4457,5430,26294,6943
"Kensington and Chelsea","E09000020",158649,111898,119,8986,2577,911,836,3968,7569,10333,11452
"Kingston upon Thames","E09000021",160060,119124,95,6269,6325,3009,892,2883,13043,4021,4399
"Lambeth","E09000022",303086,172830,195,23160,4983,3072,2221,4573,6089,78542,7421
"Lewisham","E09000023",275885,147478,208,20472,4600,1596,1388,6164,11786,74942,7251
"Merton","E09000024",199693,129390,216,9334,8106,7337,2216,2618,15866,20811,3799
"Newham","E09000025",307984,88754,462,13945,42484,30307,37262,3930,19912,60256,10672
"Redbridge","E09000026",278970,118506,140,11456,45660,31051,16011,3000,20781,24845,7520
"Richmond upon Thames","E09000027",186990,160630,95,6780,5202,1163,867,1753,4622,2816,3062
"Southwark","E09000028",288283,156086,263,17778,5819,1623,3912,8074,7764,77511,9453
"Sutton","E09000029",190146,149256,193,7134,6454,2595,1183,2240,9563,9120,2408
"Tower Hamlets","E09000030",254096,114644,175,10360,6787,2442,81377,8109,5786,18629,5787
"Waltham Forest","E09000031",258249,134430,369,13766,9134,26347,4632,2579,11697,44791,10504
"Wandsworth","E09000032",306995,219053,163,15241,8642,9718,1493,3715,9770,32756,6444
"Westminster","E09000033",219396,135254,76,11395,7213,2328,6299,5917,10105,16472,24337



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""

